coin,mode,days,hold_pnl_pct,pnl_pct,max_dd_pct,n_longs,n_shorts,final_krw
KRW-ADA,long,29,-6.39,0.00,0.00,0,0,10000000
KRW-ADA,long_short,29,-6.39,0.00,0.00,0,0,10000000
KRW-ADA,short,29,-6.39,0.00,0.00,0,0,10000000
KRW-AVAX,long,29,-2.90,0.00,0.00,0,0,10000000
KRW-AVAX,long_short,29,-2.90,0.00,0.00,0,0,10000000
KRW-AVAX,short,29,-2.90,0.00,0.00,0,0,10000000
KRW-BTC,long,29,6.89,0.00,0.00,0,0,10000000
KRW-BTC,long_short,29,6.89,0.00,0.00,0,0,10000000
KRW-BTC,short,29,6.89,0.00,0.00,0,0,10000000
KRW-DOGE,long,29,0.61,0.00,0.00,0,0,10000000
KRW-DOGE,long_short,29,0.61,0.00,0.00,0,0,10000000
KRW-DOGE,short,29,0.61,0.00,0.00,0,0,10000000
KRW-DOT,long,29,-15.19,-0.86,-3.61,1,0,9914430
KRW-DOT,long_short,29,-15.19,-0.86,-3.61,1,0,9914430
KRW-DOT,short,29,-15.19,0.00,0.00,0,0,10000000
KRW-ETH,long,29,8.68,0.00,0.00,0,0,10000000
KRW-ETH,long_short,29,8.68,0.00,0.00,0,0,10000000
KRW-ETH,short,29,8.68,0.00,0.00,0,0,10000000
KRW-LINK,long,29,1.88,0.00,0.00,0,0,10000000
KRW-LINK,long_short,29,1.88,0.00,0.00,0,0,10000000
KRW-LINK,short,29,1.88,0.00,0.00,0,0,10000000
KRW-SOL,long,29,-4.34,0.00,0.00,0,0,10000000
KRW-SOL,long_short,29,-4.34,0.00,0.00,0,0,10000000
KRW-SOL,short,29,-4.34,0.00,0.00,0,0,10000000
KRW-SUI,long,29,-1.41,0.00,0.00,0,0,10000000
KRW-SUI,long_short,29,-1.41,0.00,0.00,0,0,10000000
KRW-SUI,short,29,-1.41,0.00,0.00,0,0,10000000
KRW-XRP,long,29,-1.76,0.00,0.00,0,0,10000000
KRW-XRP,long_short,29,-1.76,0.00,0.00,0,0,10000000
KRW-XRP,short,29,-1.76,0.00,0.00,0,0,10000000
